,0,1,Unnamed: 0,contains keyword
13,Apple loses key autos engineer to electric aviation startup Archer,0.7509661316871643,210950.0,0.0
15,Apple Issues Negative iPhone 13 Forecast as Boeing Gets ,0.7455852031707764,206953.0,0.0
16,Dow futures slip on recovery fears as focus turns to Fed,0.7444444894790649,101318.0,0.0
63268,What Apple's App Store changes mean for developers,0.4871309697628021,65232.0,0.0
63269,Ford amends bylaws to adopt gender-neutral language,0.4871309399604797,233938.0,0.0
63270,Unity Software stock jumps 10% as analysts credit it with dodging Apple’s online-ad crackdown,0.4871254563331604,74544.0,0.0
126536,"American Airlines (AAL) Stock Still Worth $18, Says Analyst",0.4287190437316895,193410.0,0.0
126538,Pfizer Will Test a Pill to Kill the Covid-19 Virus,0.42871803045272827,165706.0,0.0
126539,"Tencent, Sony Ramp Up Cloud-Gaming Initiative Investment Via Japanese Venture Ubitus: Bloomberg",0.4287174940109253,16194.0,0.0
189802,"If You Invested $1,000 in Salesforce.com In 2011, This Is How Much You Would Have Today",0.3776440024375916,55824.0,0.0
189805,"Moderna : Medical Products Supply Chain Week In Review – August 31, 2021",0.3776394128799439,148016.0,0.0
189806,Equifax offers select differentiated data assets through AWS Data Exchange,0.37763771414756775,77946.0,0.0
253069,What Is Driving AMD and Nvidia's Strong Stock Price Momentum?,0.10803653299808502,246285.0,0.0
253074,"US STOCKS-Wall Street ends higher, powered by strong earnings, economic cheer",0.10364006459712982,51133.0,0.0
253078,"Lowe's (LOW): Strong Industry, Solid Earnings Estimate Revisions",0.09580168128013612,100580.0,0.0
